Name,Address,Phone,Hours,Website
Adelaide Hall,Events Only,N/A,Events Only,https://www.adelaidehallto.com/events
Annabel's,Events Only,(416) 263-3293,Events Only,https://www.annabelsto.com/events
Array Space,Array Space,N/A,Events Only,https://www.arraymusic.ca/
Baby G,Baby G,(416) 546-8840,Events Only,http://thebabyg.com
Bampot House,Bampot House,N/A,Check Website,https://www.instagram.com/bampothouse/?hl=en
Bar Dystopia,Bar Dystopia,N/A,Check Website,https://www.instagram.com/bardystopia/
Bell & Beacon,Bell & Beacon,N/A,Check Website,https://www.instagram.com/thebellandbeacon
Bovine Sex Club,Bovine Sex Club,(416) 504-4239,Check Website,https://www.bovinesexclub.com/
BSMT254,BSMT254,(416) 801-6325,Events Only,https://www.bsmt254.com/events/
Burdock Brewery,Burdock Brewery,(416) 546-4033,Check Website,https://burdockbrewery.com/pages/music-hall
Cameron House,Cameron House,(416) 703-0811,Check Website,https://www.thecameron.com/shows
Castro's Lounge,Castro's Lounge,(416) 699-8272,Check Website,https://castroslounge.com/events/
Cecil Centre,Cecil Centre,N/A,Events Only,N/A
Collective Arts,Collective Arts,(437) 216-2421,Check Website,https://collectiveartscreativity.com/pages/events
Concert Hall,Events Only,N/A,Events Only,https://888yonge.com/#upcoming-events
Danforth Music Hall,Danforth Music Hall,(416) 778-8163,Events Only,https://thedanforth.com/
Dina's Tavern,Dina's Tavern,N/A,Check Website,https://www.dinastavern.com/calendar
Drake Underground,Drake Underground,(416) 531-5042,Check Website,https://thedrake.ca/events/?event_location=drake-underground
DROM Taberna,DROM Taberna,(647) 748-2099,Check Website,https://www.dromtaberna.com/events-9O8Cm
El Mocambo,El Mocambo,N/A,Events Only,https://elmocambo.com/events-new/
Emmet Ray,Emmet Ray,(416) 792-4497,Check Website,https://www.theemmetray.com/entertainment/events-2023/
Garrison,Garrison,(416) 519-9439,Check Website,http://www.garrisontoronto.com/
Great Hall,Great Hall,(416) 792-1268,Events Only,https://thegreathall.ca/calendar/
Grossman's,Grossman's,(416) 977-7000,Check Website,https://grossmanstavern.com/events/
Handlebar,Handlebar,(647) 748-7433,Check Website,https://thehandlebar.ca/
Hard Luck Bar,Hard Luck Bar,N/A,Events Only,https://www.instagram.com/hardluckbar
History,Events Only,(416) 260-5566,Events Only,https://www.historytoronto.com/
Horseshoe Tavern,Horseshoe Tavern,(416) 598-4226,Check Website,http://www.horseshoetavern.com/
Houndstooth,Houndstooth,N/A,Check Website,https://www.instagram.com/houndstoothto
Hugh's Room,Hugh's Room,(647) 347-4769,Events Only,https://hughsroomlive.com/
Jazz Bistro,Jazz Bistro,(416) 363-5299,Check Website,https://jazzbistro.ca/event-calendar/
Jean Darlene Piano Bar,Sun,N/A,Check Website,https://www.instagram.com/jeandarlenepianoroom/
Junction Underground,Junction Underground,(416) 937-2025,Check Website,https://junctionunderground.ca/
Lee's Palace,Lee's Palace,(416) 532-1598,Events Only,https://www.leespalace.com/
Linsmore Tavern,Linsmore Tavern,(416) 466-5130,Check Website,https://www.linsmoretavern.com/event-calendar/
Lithuanian House,Lithuanian House,N/A,Events Only,N/A
LOLA,LOLA,(416) 598-9209,Check Website,https://www.facebook.com/groups/2601683113313156/
Low Bar,Low Bar,(416) 672-0272,Check Website,https://www.lowbar.ca/
Lula Lounge,Events Only,(416) 588-0307,Events Only,https://www.lula.ca/
Massey Hall,Events Only,(416) 872-4255,Events Only,https://masseyhall.mhrth.com/
Mod Club,Mod Club,N/A,Events Only,https://www.themodclub.com/shows
Monarch Tavern,Monarch Tavern,(416) 531-5833,Check Website,https://www.themonarchtavern.com/
NoNo Room,NoNo Room,N/A,Check Website,https://www.instagram.com/nonoroom_thedockellis/
Opera House,Opera House,(416) 466-0313,Events Only,https://theoperahousetoronto.com/
Painted Lady,Painted Lady,N/A,Check Website,https://www.thepaintedlady.ca/shows
Phoenix,Events Only,(416) 323-1251,Events Only,https://thephoenixconcerttheatre.com/events/
The Pilot,The Pilot,(416) 923-5716,Check Website,https://www.thepilot.ca/events
The Piston,Sun,(416) 532-3989,Check Website,https://www.thepiston.ca/events
Poetry Jazz Cafe,Poetry Jazz Cafe,(416) 599-5299,Check Website,http://www.poetryjazzcafe.com/
Primal Note Studio,Primal Note Studio,(647) 453-3234,Events Only,https://primalnote.com/events
Queen Elizabeth Theatre,Events Only,(416) 263-3293,Events Only,https://www.queenelizabeththeatre.ca/our-events
Reservoir Lounge,Sun,(416) 955-0887,Check Website,https://www.reservoirlounge.com/live-shows
Rex Hotel,Rex Hotel,N/A,Check Website,https://www.therex.ca/events
Rivoli,Rivoli,(647) 494-4540,Check Website,https://www.rivolitoronto.com/shows
Rockpile,Rockpile,(416) 464-7614,Check Website,https://therockpile.ca/
St Anne's Hall,St Anne's Hall,N/A,Events Only,https://www.wavelengthmusic.ca/events/upcoming-events/
See-Scape,See-Scape,(647) 853-9892,Check Website,https://www.seescapeto.com/events
Sneaky Dee's,Sneaky Dee's,N/A,Check Website,https://www.sneakydees.com/events
Sound Garage,Sound Garage,(437) 836-9619,Check Website,https://www.bloodbrothersbrewing.com/pages/the-sound-garage-165-geary-ave
St Stephen,St Stephen,N/A,Events Only,https://www.instagram.com/shows.at.ststephens
Supermarket,Supermarket,(416) 840-0501,Check Website,https://www.supermarketto.ca/events
Tapestry,Tapestry,N/A,Check Website,https://www.instagram.com/tapestry_to
TD Music Hall,Events Only,(416) 872-4255,Events Only,https://tdmusichall.mhrth.com/
Ted's Collision,Ted's Collision,N/A,Check Website,https://www.instagram.com/explore/locations/1028638541/teds-collision/recent/
Toronto Style,Toronto Style,N/A,Check Website,N/A
Tranzac Club,Tranzac Club,(416) 923-8137,Check Website,http://www.tranzac.org/
USW Hall,USW Hall,N/A,Events Only,N/A
