Name,City,State/Province,Zip_Code,Address,Phone,Website,Categories,Genres,Capacity,Age_Restriction,Rating,Description,Booking_Info,Facebook,Instagram,Upcoming_Events,Profile_URL,Normalized_Profile_URL,Source_Province_Search,Scraped_At
NXNE Music Festival,Toronto,ON,M5V 2A2,"Toronto, ON M5V 2A2",N/A,https://www.nxne.com/,Music Festival,All Genres,N/A,N/A,5.00,"""NXNE is Canada’s most important discovery music festival, presenting thousands of essential emerging artists, often just before they break, from across Canada and around the world - since 1995."" The festival takes place in mid June.",Requires Premium,N/A,https://www.instagram.com/nxne/,N/A,https://www.indieonthemove.com/venues/nxne-music-festival-toronto-ontario,https://www.indieonthemove.com/venues/nxne-music-festival-toronto-ontario,,
Supermarket,Toronto,ON,M5T 2L9,"268 Augusta Avenue, Toronto, ON M5T 2L9",N/A,https://www.supermarketto.ca/,"Music Venue, Bar, Open Mic, Night Club",All Genres,348,19+,5.00,"""Supermarket Restaurant and Bar has continued to be a great place for friends to meet and get together for dining, drinks and great entertainment! The late night programming at Supermarket is eclectic. During the week, as the dining hours finish, all kinds of other events such as indie bands, comedy, book launches, open mics, songwriter evenings, dj dance parties, fundraisers, and much more take place in the Supermarket “back room”!"" Live music can be held 7 nights a week.",Requires Premium,https://www.facebook.com/supermkttoronto/,https://www.instagram.com/supermkttoronto/,Paitra; Mean Gloss; The Neverminds; Capitol; Elemantra; A Weekend at Ramona's; Kali Masi,https://www.indieonthemove.com/venues/supermarket-toronto-ontario,https://www.indieonthemove.com/venues/supermarket-toronto-ontario,,
Horseshoe Tavern,Toronto,ON,M5V 2A2,"370 Queen Street West, Toronto, ON M5V 2A2",N/A,https://www.horseshoetavern.com/,"Music Venue, Bar",All Genres,400,19+,5.00,"""Legendary Toronto concert venue since 1947!"" Live music can be held any night of the week.",Requires Premium,https://www.facebook.com/HorseshoeTavern,https://www.instagram.com/horseshoetavern/,One in the Chamber; Sparrow Blue.; Akeem Oh; The Brook & The Bluff; Ethan Tasch; HAPPY LANDING; Nathan Bess; Kashus Culpepper; Robyn Hitchcock; Emma Swift,https://www.indieonthemove.com/venues/horseshoe-tavern-toronto-ontario,https://www.indieonthemove.com/venues/horseshoe-tavern-toronto-ontario,,
Departure Festival + Conference,Toronto,ON,M5J 1A6,"Toronto, ON M5J 1A6",N/A,https://departureto.com/,"Music Festival, Music Conference",All Genres,N/A,N/A,4.33,"""Canadian Music Week Reimagined."" The festival takes place in early May.",Requires Premium,https://www.facebook.com/departurefest/,https://www.instagram.com/departurefest/,N/A,https://www.indieonthemove.com/venues/departure-festival-conference-toronto-ontario,https://www.indieonthemove.com/venues/departure-festival-conference-toronto-ontario,,
Aeolian Hall,London,ON,N5W 2Z6,"795 Dundas Street East, London, ON N5W 2Z6",N/A,https://aeolianhall.ca/,"Music Venue, Rental",All Genres,312,N/A,2.50,One of Canada's 10 best acoustic halls. Live music can be held any night of the week.,Requires Premium,https://www.facebook.com/theaeolian,https://www.instagram.com/theaeolian/,Aysanabee; Whitehorse,https://www.indieonthemove.com/venues/aeolian-hall-london-ontario,https://www.indieonthemove.com/venues/aeolian-hall-london-ontario,,
Ale House & Canteen,Kingston,ON,K7L 1B9,"393 Princess Street, Kingston, ON K7L 1B9",N/A,http://www.thealehousekingston.ca/,"Music Venue, Bar",All Genres,N/A,19+,1.00,"They host live music on Tuesday, Friday, and Saturday nights.",Requires Premium,https://www.facebook.com/AleHouseAndCanteen/,https://www.instagram.com/thealehouse/,N/A,https://www.indieonthemove.com/venues/ale-house-canteen-kingston-ontario,https://www.indieonthemove.com/venues/ale-house-canteen-kingston-ontario,,
Bronson Centre Music Theatre,Ottawa,ON,K1R 6H5,"211 Bronson Avenue, Ottawa, ON K1R 6H5",N/A,https://bronsoncentre.ca/,"Music Venue, Rental",All Genres,958,N/A,1.00,"""A vital Ottawa community hub, Bronson Centre provides an affordable home for not-profit organizations, individuals, and creatives, while at the same time providing an amplified entertainment experience for the Ottawa community."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/bronsoncentremusictheatre,https://www.instagram.com/bronsoncentremusictheatre/,Mae Martin; Rob Anderson; Rob Anderson; Arm's Length; Super Sometimes; Steven Ho; Leith Ross; Cattle Decapitation; Steve Hofstetter; Jessica Kirson,https://www.indieonthemove.com/venues/bronson-centre-music-theatre-ottawa-ontario,https://www.indieonthemove.com/venues/bronson-centre-music-theatre-ottawa-ontario,,
Atomic Rooster,Ottawa,ON,K2P 1X7,"303 Bank Street, Ottawa, ON K2P 1X7",N/A,N/A,"Music Venue, Restaurant, Bar","Blues, Classic Rock, Country, Rock",100,19+,1.00,"""Atomic Rooster is a soulful place to go for a bite to eat and grab a drink with friends. We offer Live Music, Karaoke, Local Art and much more!"" Live music is held on Saturday and Sunday nights with Sundays primarily being reserved for Blues.",Requires Premium,https://www.facebook.com/profile.php?id=100028283515678,N/A,Bonecat; Bonecat; Bonecat,https://www.indieonthemove.com/venues/atomic-rooster-ottawa-ontario,https://www.indieonthemove.com/venues/atomic-rooster-ottawa-ontario,,
Avant Garde Bar,Ottawa,ON,K1N 6A7,"135½ Besserer Street, Ottawa, ON K1N 6A7",N/A,https://avantgardebar.myshopify.com/,"Music Venue, Art Gallery, Bar",All Genres,100,19+,1.00,"""The idea for Avant-Garde was conceived through many conversations with residents of Ottawa, who craved for a meeting place that inspires. It is not simply an art bar, it is a revolutionary culture hub, where local poets, artists, designers, and political activists gather to discuss and implement their latest projects. We are proud supporters of local and international artists, who love to experiment and push the limits of music."" Live music can be held any night of the week. Under age patrons are allowed with a legal guardian.",Requires Premium,https://www.facebook.com/avantgardebarottawa,https://www.instagram.com/avantgardebar/,August John; Sparrow Blue.; The Thick; Among Legends; Bonita; Polarized; bug crush; The Berns; Neurotypes; Zach Bellas,https://www.indieonthemove.com/venues/avant-garde-bar-ottawa-ontario,https://www.indieonthemove.com/venues/avant-garde-bar-ottawa-ontario,,
Adelaide Hall,Toronto,ON,M5H 1X6,"250 Adelaide Street West, Toronto, ON M5H 1X6",N/A,https://adelaidehallto.com/,Music Venue,All Genres,475,N/A,1.00,"""Adelaide Hall is a multifaceted event space and concert venue, showcasing live music as well as some of the city’s hottest DJs and upcoming artists."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/AdelaideHallTO/,https://www.instagram.com/adelaidehallto/,Dorene; Joseph; Barns Courtney; Belle and Chain; Baby Jane; Mitch Zorn; Bradley Hale; Tyler Lorette; Wild Rivers; LTL,https://www.indieonthemove.com/venues/adelaide-hall-toronto-ontario,https://www.indieonthemove.com/venues/adelaide-hall-toronto-ontario,,
