Name,City,State/Province,Zip_Code,Address,Phone,Website,Categories,Genres,Capacity,Age_Restriction,Rating,Description,Booking_Info,Facebook,Instagram,Upcoming_Events,Profile_URL,Normalized_Profile_URL,Source_Province_Search,Scraped_At,venue_type,lat,lon,Raw_Building_Area_SqFt,Building_Area_SqFt,Multi_Tenant_Flag,heuristic_capacity,Estimated_Capacity,Estimated_Capacity_Low,Estimated_Capacity_High,Estimation_Method,Confidence
NXNE Music Festival,Toronto,ON,M5V 2A2,"Toronto, ON M5V 2A2",,https://www.nxne.com/,Music Festival,All Genres,,,5.0,"""NXNE is Canada’s most important discovery music festival, presenting thousands of essential emerging artists, often just before they break, from across Canada and around the world - since 1995."" The festival takes place in mid June.",Requires Premium,,https://www.instagram.com/nxne/,,https://www.indieonthemove.com/venues/nxne-music-festival-toronto-ontario,https://www.indieonthemove.com/venues/nxne-music-festival-toronto-ontario,,,festival,43.6534817,-79.3839347,133540.6,33385.2,True,4006.2239999999997,310.0,270.0,455.0,model,medium
Supermarket,Toronto,ON,M5T 2L9,"268 Augusta Avenue, Toronto, ON M5T 2L9",,https://www.supermarketto.ca/,"Music Venue, Bar, Open Mic, Night Club",All Genres,348.0,19+,5.0,"""Supermarket Restaurant and Bar has continued to be a great place for friends to meet and get together for dining, drinks and great entertainment! The late night programming at Supermarket is eclectic. During the week, as the dining hours finish, all kinds of other events such as indie bands, comedy, book launches, open mics, songwriter evenings, dj dance parties, fundraisers, and much more take place in the Supermarket “back room”!"" Live music can be held 7 nights a week.",Requires Premium,https://www.facebook.com/supermkttoronto/,https://www.instagram.com/supermkttoronto/,Paitra; Mean Gloss; The Neverminds; Capitol; Elemantra; A Weekend at Ramona's; Kali Masi,https://www.indieonthemove.com/venues/supermarket-toronto-ontario,https://www.indieonthemove.com/venues/supermarket-toronto-ontario,,,club,43.6566122,-79.403059,3363.2,3363.2,False,288.27428571428567,348.0,348.0,348.0,known,known
Horseshoe Tavern,Toronto,ON,M5V 2A2,"370 Queen Street West, Toronto, ON M5V 2A2",,https://www.horseshoetavern.com/,"Music Venue, Bar",All Genres,400.0,19+,5.0,"""Legendary Toronto concert venue since 1947!"" Live music can be held any night of the week.",Requires Premium,https://www.facebook.com/HorseshoeTavern,https://www.instagram.com/horseshoetavern/,One in the Chamber; Sparrow Blue.; Akeem Oh; The Brook & The Bluff; Ethan Tasch; HAPPY LANDING; Nathan Bess; Kashus Culpepper; Robyn Hitchcock; Emma Swift,https://www.indieonthemove.com/venues/horseshoe-tavern-toronto-ontario,https://www.indieonthemove.com/venues/horseshoe-tavern-toronto-ontario,,,bar,43.6490494,-79.395904,2704.2,2704.2,False,231.7885714285714,400.0,400.0,400.0,known,known
Departure Festival + Conference,Toronto,ON,M5J 1A6,"Toronto, ON M5J 1A6",,https://departureto.com/,"Music Festival, Music Conference",All Genres,,,4.33,"""Canadian Music Week Reimagined."" The festival takes place in early May.",Requires Premium,https://www.facebook.com/departurefest/,https://www.instagram.com/departurefest/,,https://www.indieonthemove.com/venues/departure-festival-conference-toronto-ontario,https://www.indieonthemove.com/venues/departure-festival-conference-toronto-ontario,,,festival,43.6534817,-79.3839347,133540.6,33385.2,True,4006.2239999999997,475.0,335.0,535.0,model,medium
Aeolian Hall,London,ON,N5W 2Z6,"795 Dundas Street East, London, ON N5W 2Z6",,https://aeolianhall.ca/,"Music Venue, Rental",All Genres,312.0,,2.5,One of Canada's 10 best acoustic halls. Live music can be held any night of the week.,Requires Premium,https://www.facebook.com/theaeolian,https://www.instagram.com/theaeolian/,Aysanabee; Whitehorse,https://www.indieonthemove.com/venues/aeolian-hall-london-ontario,https://www.indieonthemove.com/venues/aeolian-hall-london-ontario,,,venue,,,,,False,,312.0,312.0,312.0,known,known
Ale House & Canteen,Kingston,ON,K7L 1B9,"393 Princess Street, Kingston, ON K7L 1B9",,http://www.thealehousekingston.ca/,"Music Venue, Bar",All Genres,,19+,1.0,"They host live music on Tuesday, Friday, and Saturday nights.",Requires Premium,https://www.facebook.com/AleHouseAndCanteen/,https://www.instagram.com/thealehouse/,,https://www.indieonthemove.com/venues/ale-house-canteen-kingston-ontario,https://www.indieonthemove.com/venues/ale-house-canteen-kingston-ontario,,,bar,44.233273,-76.4917073,6422.4,6422.4,False,550.4914285714285,315.0,285.0,615.0,model,high
Bronson Centre Music Theatre,Ottawa,ON,K1R 6H5,"211 Bronson Avenue, Ottawa, ON K1R 6H5",,https://bronsoncentre.ca/,"Music Venue, Rental",All Genres,958.0,,1.0,"""A vital Ottawa community hub, Bronson Centre provides an affordable home for not-profit organizations, individuals, and creatives, while at the same time providing an amplified entertainment experience for the Ottawa community."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/bronsoncentremusictheatre,https://www.instagram.com/bronsoncentremusictheatre/,Mae Martin; Rob Anderson; Rob Anderson; Arm's Length; Super Sometimes; Steven Ho; Leith Ross; Cattle Decapitation; Steve Hofstetter; Jessica Kirson,https://www.indieonthemove.com/venues/bronson-centre-music-theatre-ottawa-ontario,https://www.indieonthemove.com/venues/bronson-centre-music-theatre-ottawa-ontario,,,venue,45.413547,-75.706419,32435.0,8108.8,True,973.0559999999999,958.0,958.0,958.0,known,known
Atomic Rooster,Ottawa,ON,K2P 1X7,"303 Bank Street, Ottawa, ON K2P 1X7",,,"Music Venue, Restaurant, Bar","Blues, Classic Rock, Country, Rock",100.0,19+,1.0,"""Atomic Rooster is a soulful place to go for a bite to eat and grab a drink with friends. We offer Live Music, Karaoke, Local Art and much more!"" Live music is held on Saturday and Sunday nights with Sundays primarily being reserved for Blues.",Requires Premium,https://www.facebook.com/profile.php?id=100028283515678,,Bonecat; Bonecat; Bonecat,https://www.indieonthemove.com/venues/atomic-rooster-ottawa-ontario,https://www.indieonthemove.com/venues/atomic-rooster-ottawa-ontario,,,bar,45.4149883,-75.6958605,5281.9,5281.9,False,452.7342857142857,100.0,100.0,100.0,known,known
Avant Garde Bar,Ottawa,ON,K1N 6A7,"135½ Besserer Street, Ottawa, ON K1N 6A7",,https://avantgardebar.myshopify.com/,"Music Venue, Art Gallery, Bar",All Genres,100.0,19+,1.0,"""The idea for Avant-Garde was conceived through many conversations with residents of Ottawa, who craved for a meeting place that inspires. It is not simply an art bar, it is a revolutionary culture hub, where local poets, artists, designers, and political activists gather to discuss and implement their latest projects. We are proud supporters of local and international artists, who love to experiment and push the limits of music."" Live music can be held any night of the week. Under age patrons are allowed with a legal guardian.",Requires Premium,https://www.facebook.com/avantgardebarottawa,https://www.instagram.com/avantgardebar/,August John; Sparrow Blue.; The Thick; Among Legends; Bonita; Polarized; bug crush; The Berns; Neurotypes; Zach Bellas,https://www.indieonthemove.com/venues/avant-garde-bar-ottawa-ontario,https://www.indieonthemove.com/venues/avant-garde-bar-ottawa-ontario,,,bar,45.4266853,-75.6889598,1947.3,1947.3,False,166.91142857142856,100.0,100.0,100.0,known,known
Adelaide Hall,Toronto,ON,M5H 1X6,"250 Adelaide Street West, Toronto, ON M5H 1X6",,https://adelaidehallto.com/,Music Venue,All Genres,475.0,,1.0,"""Adelaide Hall is a multifaceted event space and concert venue, showcasing live music as well as some of the city’s hottest DJs and upcoming artists."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/AdelaideHallTO/,https://www.instagram.com/adelaidehallto/,Dorene; Joseph; Barns Courtney; Belle and Chain; Baby Jane; Mitch Zorn; Bradley Hale; Tyler Lorette; Wild Rivers; LTL,https://www.indieonthemove.com/venues/adelaide-hall-toronto-ontario,https://www.indieonthemove.com/venues/adelaide-hall-toronto-ontario,,,venue,43.6483222,-79.3891121,5134.0,5134.0,False,616.08,475.0,475.0,475.0,known,known
Timothy's Pub,Toronto,ON,M8W 3T7,"344 Browns Line, Toronto, ON M8W 3T7",,https://www.timothyspub.ca/,"Pub, Music Venue","Acoustic, Blues, Classic Rock, Country, Dance, Funk, R&B, Rock, Singer-Songwriter",,,,"""A true neighborhood pub. Etobicoke’s best live music destination. Sports bar. Traditional pub fare & the best chicken wings in town."" Shows are held 6 nights a week, Tuesday-Sunday, with Tuesdays being reserved for a regular performer.",Requires Premium,https://www.facebook.com/timothyspub.toronto/,https://www.instagram.com/timothyspub,Greg Wyard; The Music Factory (TMF); Greg Wyard; Greg Wyard; The Music Factory (TMF); Greg Wyard; Greg Wyard; Greg Wyard; Greg Wyard; Greg Wyard,https://www.indieonthemove.com/venues/timothys-pub-toronto-ontario,https://www.indieonthemove.com/venues/timothys-pub-toronto-ontario,,,bar,43.6001633,-79.5447958,3067.0,3067.0,False,262.8857142857143,275.0,195.0,360.0,model,high
GigSpace Performance Studio,Ottawa,ON,K1Y 3E5,"953 Gladstone Avenue, Ottawa, ON K1Y 3E5",,https://www.gigspaceottawa.com/,"Music Venue, Jazz & Blues",Jazz,44.0,,,"""The mandate of GigSpace is to enlighten, inspire, educate and promote music and musicians in a supportive and creative atmosphere. We reach out to our audiences and engage the community through concerts, masterclasses, workshops and music education courses."" Friday and Saturday evening are available for public performances. Friday, Saturday and Sunday afternoons may be available for workshops. GigSpace is usually booked Monday through Thursday with ongoing classes, workshops and rehearsals.",Requires Premium,https://www.facebook.com/GigSpaceOttawa,https://www.instagram.com/GigSpace.Ottawa,,https://www.indieonthemove.com/venues/gigspace-performance-studio-ottawa-ontario,https://www.indieonthemove.com/venues/gigspace-performance-studio-ottawa-ontario,,,bar,45.4106703,-75.6971928,1019.4,1019.4,False,87.37714285714286,44.0,44.0,44.0,known,known
Warehouse Concert Hall,St. Catharines,ON,L2R 4M2,"11 Geneva Street, St. Catharines, ON L2R 4M2",,https://warehouseconcerthall.com/,Music Venue,All Genres,190.0,,,"""Warehouse Concert Hall is a multi-use concert and event space, located centrally in downtown St. Catharines. Opened in April 2017, Warehouse is the Niagara Region’s only dedicated live music venue, and is a perfect space for concerts, private parties, functions, DJ nights, video recording, fundraisers and more."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/warehouseconcerthall,https://www.instagram.com/warehouseconcerthall,Paitra; PRRR; KryOGeniX; The OBGMs; Gutter King; The Downcast; The Free Label; Texas King; Bleeker; Born In The Eighties,https://www.indieonthemove.com/venues/warehouse-concert-hall-st-catharines-ontario,https://www.indieonthemove.com/venues/warehouse-concert-hall-st-catharines-ontario,,,theatre,43.1603583,-79.2402534,1221.9,1221.9,False,104.73428571428572,190.0,190.0,190.0,known,known
Algonquin College,Ottawa,ON,K2G 1V8,"1385 Woodroffe Avenue, Ottawa, ON K2G 1V8",,https://www.algonquinsa.com/,College/University,All Genres,,,,,Requires Premium,https://www.facebook.com/AlgonquinSA/,https://www.instagram.com/sa_algonquin,,https://www.indieonthemove.com/venues/algonquin-college-ottawa-ontario,https://www.indieonthemove.com/venues/algonquin-college-ottawa-ontario,,,venue,45.3495196,-75.7557201,62192.0,15548.0,True,932.8799999999999,580.0,375.0,655.0,model,medium
The Studio,Hamilton,ON,L8P 4Y2,"1 Summers Lane, Hamilton, ON L8P 4Y2",,https://www.firstontarioconcerthall.ca/venues/detail/the-studio,Music Venue,All Genres,550.0,,,"""An intimate, versatile space within Hamilton’s premier performing arts center, The Studio is available for concerts and live shows as well as for TV, film and photography projects."" They host a varied amount of shows per month, about once a week on average. Shows generally fall on Friday and Saturday nights.",Requires Premium,https://www.facebook.com/FirstOntarioConcertHall,,Madeleine Peyroux; Joy Clark; Barak Mori; Anthony Rodia; Shaylyn; Josh Thomas; Highwaymen Show,https://www.indieonthemove.com/venues/the-studio-hamilton-ontario,https://www.indieonthemove.com/venues/the-studio-hamilton-ontario,,,gallery,43.2562292,-79.8725026,217297.9,54324.5,True,2716.225,550.0,550.0,550.0,known,known
